Champion Name;Gender;Position(s);Species;Resource;Range type;Region(s);Release year
Lux;Female;Middle,Support;Human,Magicborn;Mana;Ranged;Demacia;2010
Aatrox;Male;Top;Darkin;Manaless;Melee;Runeterra,Shurima;2013
Ahri;Female;Middle;Vastayan;Mana;Ranged;Ionia;2011
Akali;Female;Top,Middle;Human;Energy;Melee;Ionia;2010
Akshan;Male;Top,Middle;Human;Mana;Ranged;Shurima;2021
Alistar;Male;Support;Minotaur;Mana;Melee;Runeterra;2009
Amumu;Male;Jungle,Support;Undead,Yordle;Mana;Melee;Shurima;2009
Anivia;Female;Middle;Spirit,God;Mana;Ranged;Freljord;2009
Annie;Female;Middle;Human,Magicborn;Mana;Ranged;Noxus,Runeterra;2009
Aphelios;Male;Bottom;Human,Spiritualist;Mana;Ranged;Targon;2019
Ashe;Female;Bottom,Support;Human,Iceborn;Mana;Ranged;Freljord;2009
Aurelion Sol;Male;Middle;Celestial,Dragon;Mana;Ranged;Runeterra,Targon;2016
Azir;Male;Middle;God-Warrior;Mana;Ranged;Shurima;2014
Bard;Male;Support;Celestial;Mana;Ranged;Runeterra;2015
Blitzcrank;Other;Support;Golem;Mana;Melee;Zaun;2009
Brand;Male;Support;Human,Magically Altered;Mana;Ranged;Freljord,Runeterra;2011
Braum;Male;Support;Human,Iceborn;Mana;Melee;Freljord;2014
Caitlyn;Female;Bottom;Human;Mana;Ranged;Piltover;2011
Camille;Female;Top;Human,Cyborg;Mana;Melee;Piltover;2016
Cassiopeia;Female;Middle;Human,Magically Altered;Mana;Ranged;Noxus,Shurima;2010
Cho'Gath;Male;Top;Void-Being;Mana;Melee;Void;2009
Corki;Male;Middle;Yordle;Mana;Ranged;Bandle City,Piltover;2009
Darius;Male;Top;Human;Mana;Melee;Noxus;2012
Diana;Female;Jungle,Middle;Human,Aspect;Mana;Melee;Targon;2012
Dr. Mundo;Male;Top;Human,Chemically Altered;Health costs;Melee;Zaun;2009
Draven;Male;Bottom;Human;Mana;Ranged;Noxus;2012
Ekko;Male;Jungle,Middle;Human;Mana;Melee;Zaun;2015
Elise;Female;Jungle;Human,Magically Altered;Mana;Melee,Ranged;Shadow Isles,Noxus;2012
Evelynn;Female;Jungle;Demon,Spirit;Mana;Melee;Runeterra;2009
